t-api$ sudo docker-compose logs opnsense-api
opnsense-management-api  | 2025-08-13 17:56:42 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:42 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:43 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:43 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:43 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:43 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:44 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:44 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:44 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:44 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:45 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:45 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:45 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:45 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:46 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:46 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:46 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:46 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:47 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:47 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:47 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:47 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:48 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:48 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:48 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:48 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:49 warn: Redis reconnecting...
